episode_index,frame_index,replay_time_s,x_m,y_m,z_m,gripper_command_m,gripper_command_mm,gripper_source
3,0,0.0,0.46989644480932047,0.024706883867046177,0.15135237863036524,0.0710468739271164,71.0468739271164,observation.state.box_gripper.distance_m
3,1,0.01666666753590107,0.4699795189046525,0.0249218980204117,0.15135220006637357,0.0710468739271164,71.0468739271164,observation.state.box_gripper.distance_m
3,2,0.03333333507180214,0.47013037255463347,0.025090320658856517,0.15137627715285332,0.07057654857635498,70.57654857635498,observation.state.box_gripper.distance_m
3,3,0.05000000074505806,0.47027528261775436,0.02521104987088539,0.15140057246726027,0.07005660235881805,70.05660235881805,observation.state.box_gripper.distance_m
3,4,0.06666667014360428,0.47021602321479194,0.025347338202047237,0.1513748179490698,0.06950782239437103,69.50782239437103,observation.state.box_gripper.distance_m
3,5,0.0833333358168602,0.4702471258645095,0.02548299197802157,0.15136274136482722,0.06895586103200912,68.95586103200912,observation.state.box_gripper.distance_m
3,6,0.10000000149011612,0.4702334854148787,0.025610200017852212,0.15132944166339887,0.0684085488319397,68.4085488319397,observation.state.box_gripper.distance_m
3,7,0.11666666716337204,0.47025249030838256,0.02574055938192705,0.15128345027272044,0.06789340823888779,67.89340823888779,observation.state.box_gripper.distance_m
3,8,0.13333334028720856,0.47021229923750135,0.02586713333377044,0.15120020843338472,0.0674312487244606,67.4312487244606,observation.state.box_gripper.distance_m
3,9,0.15000000596046448,0.4701986636724946,0.026031524918026933,0.151094757366843,0.06702768802642822,67.02768802642822,observation.state.box_gripper.distance_m
3,10,0.1666666716337204,0.4700210240921294,0.02619466863015506,0.15093674865200082,0.06667634844779968,66.67634844779968,observation.state.box_gripper.distance_m
3,11,0.18333333730697632,0.4698355233485215,0.02633889485272381,0.15076968553025863,0.06637440621852875,66.37440621852875,observation.state.box_gripper.distance_m
3,12,0.20000000298023224,0.4696668407557459,0.026457214171261907,0.15060841885475343,0.06609073281288147,66.09073281288147,observation.state.box_gripper.distance_m
3,13,0.21666666865348816,0.4695723457037118,0.026554183266202312,0.15047293245344723,0.06579343974590302,65.79343974590302,observation.state.box_gripper.distance_m
3,14,0.23333333432674408,0.4694238364770463,0.026636634092873077,0.15034744929846314,0.06546207517385483,65.46207517385483,observation.state.box_gripper.distance_m
3,15,0.25,0.46912349196317676,0.02669172474643211,0.15021670562833928,0.06507563591003418,65.07563591003418,observation.state.box_gripper.distance_m
3,16,0.2666666805744171,0.46894362865333483,0.02679022669821035,0.1501653638113461,0.06458363682031631,64.58363682031631,observation.state.box_gripper.distance_m
3,17,0.28333333134651184,0.46928372905312155,0.026966028852876727,0.1503162831850998,0.06395842880010605,63.95842880010605,observation.state.box_gripper.distance_m
3,18,0.30000001192092896,0.46928321804997225,0.027120853828580507,0.15042132428158506,0.06321699917316437,63.21699917316437,observation.state.box_gripper.distance_m
3,19,0.3166666626930237,0.46860187636318335,0.027188553941056973,0.15035045340800807,0.06234253942966461,62.34253942966461,observation.state.box_gripper.distance_m
3,20,0.3333333432674408,0.46822444598713414,0.027259667622012818,0.15034959744690377,0.0613473579287529,61.3473579287529,observation.state.box_gripper.distance_m
3,21,0.3499999940395355,0.4679880377470308,0.02743119134388877,0.15038622261661547,0.06020902842283249,60.20902842283249,observation.state.box_gripper.distance_m
3,22,0.36666667461395264,0.4677952638622693,0.027673768078088884,0.15043747192481138,0.05902477353811264,59.02477353811264,observation.state.box_gripper.distance_m
3,23,0.38333332538604736,0.4677945888022842,0.028087394071550656,0.15056315297924622,0.057884812355041504,57.884812355041504,observation.state.box_gripper.distance_m
